num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
235	197	0.932274508259206	4			48.7039999999997	-0.00038041349103272		0.0109999999999673	infill_ei	0.172000000000025	0.00126531873433648	0.930080046984832	209
235	53	0.931632215654608	10			47.2530000000002	-0.000223914245109328		0.01299999999992	infill_ei	0.197999999999865	0.000236337055779252	0.932471692144689	201
230	2	0.930542959689883	8			52.8160000000003	-0.000275820584380385		0.0160000000000764	infill_ei	0.269000000000233	0.000683449934217637	0.932280812081634	216
235	836	0.930352032883899	0			45.0239999999999				initdesign				180
256	2	0.92994260610456	7			55.2689999999998	-0.000513599881483682		0.0119999999997162	infill_ei	0.346000000000004	0.00112887548012932	0.932395801493794	228
239	2	0.929746581738222	9			49.6010000000001	-0.000498087762440923		0.01299999999992	infill_ei	0.268000000000029	0.000916428451464343	0.932514540703674	221
49	1837	0.929525532984691	0			28.0780000000004				initdesign				171
235	1328	0.929140435470679	3			30.8070000000002	-0.000304135930048968		0.0100000000002183	infill_ei	0.163000000000011	0.00152136224579326	0.929601733737785	89
136	2384	0.928933520861766	0			38.194				initdesign				248
49	4151	0.928766923321107	5			34.4320000000002	-4.00322921903882e-05		0.012000000000171	infill_ei	0.162000000000262	0.00240502175213778	0.928093675158298	220
204	4059	0.928377886783185	0			31.3719999999998				initdesign				204
18	4777	0.927880642941385	0			28.3880000000004				initdesign				211
193	883	0.927277740575885	2			31.328	-0.000331765159992444		0.00900000000001455	infill_ei	0.164999999999964	0.00164538983975399	0.929549654660384	81
136	5419	0.926216984607685	6			39.7110000000002	-2.91205974587504e-05		0.0149999999998727	infill_ei	0.199000000000069	0.0024380433941948	0.927715232852281	255
95	5454	0.926011923657082	0			37.663				initdesign				279
190	6760	0.925265594479806	0			34.0679999999998				initdesign				272
128	7721	0.925238253019725	0			33.078				initdesign				270
2	2	0.921909546108592	1			103.717	-0.000350850302801698		0.0199999999999818	infill_ei	0.329000000000178	0.00110102428882242	0.930162220945332	2048
