num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
49	1837	0.939299178134247	0			113.214				initdesign				1765
48	1719	0.938655958700493	8			93.519	-7.37132075358328e-05		0.0149999999999864	infill_ei	0.173000000000002	0.000755857873600887	0.93860682285671	1290
50	1525	0.937539361275688	3			112.047	-0.000317413386539809		0.0109999999999673	infill_ei	0.173000000000002	0.00207129472657603	0.937935649530467	1637
49	1303	0.93752314176547	4			81.221	-0.000347220517679287		0.00999999999999091	infill_ei	0.189000000000021	0.00180860767135485	0.938360418077373	1041
48	2201	0.937153568639809	5			115.462	-0.00053830231611245		0.0149999999999864	infill_ei	0.16599999999994	0.000911076942552324	0.939607591226242	1589
235	836	0.936820373558491	0			76.4109999999998				initdesign				644
49	2434	0.936749239420825	6			94.0100000000001	-0.0002986070411959		0.0170000000000528	infill_ei	0.172000000000025	0.00109712553523457	0.938985468936091	1233
48	3954	0.935991093171818	2			99.413	-0.000339532187756703		0.0169999999999959	infill_ei	0.227000000000004	0.00178164922864764	0.938366064044684	1440
136	2384	0.935961202931561	0			84.6970000000001				initdesign				1013
67	1837	0.935384251782408	9			64.0220000000001	-0.000263829106707143		0.01400000000001	infill_ei	0.177999999999997	0.00271944121377339	0.936800530673062	712
50	628	0.935380312758498	7			54.744	-0.000104857195386188		0.0119999999999436	infill_ei	0.17999999999995	0.00247033596683698	0.936006788708493	699
204	4059	0.934887934769764	0			100.667				initdesign				1609
53	1885	0.934063056821578	10			101.351	-0.000146820965941848		0.0180000000000291	infill_ei	0.173000000000002	0.00105367770759591	0.938546049448438	1366
95	5454	0.93377689831989	0			71.8390000000001				initdesign				1265
18	4777	0.931816422949217	0			90.3220000000001				initdesign				1391
128	7721	0.930778142588031	0			77.053				initdesign				1437
17	1480	0.929920130497545	1			33.113	-0.000456524116564371		0.0200000000000102	infill_ei	0.16500000000002	0.00139548114467388	0.939085802911023	456
190	6760	0.929673130527667	0			59.5740000000001				initdesign				729
