Feature	Gain	Cover	Frequency
ctrx_quarter	0.148984685452903	0.0312684399420388	0.00841381328650863
mcaja_ahorro	0.0275708105528538	0.00888062787143234	0.00490196078431373
ctrx_quarter_lag1	0.023521058868426	0.00918348984556255	0.00585308750365818
mtarjeta_visa_consumo	0.0215037933783003	0.0207062169149942	0.00680421422300263
ctrx_quarter/cproductos_lag2	0.0212192475207083	0.0025981907561729	0.00256072578285045
mcuenta_corriente	0.0192721385316674	0.0116729418363841	0.0103160667251975
foto_mes	0.015923480704068	0.0238858390705597	0.0155838454784899
cpayroll_trx	0.0158237821440494	0.00981717816912581	0.00212174422007609
mcuentas_saldo	0.0144018120158443	0.00838380195544275	0.00614574187884109
cdescubierto_preacordado	0.0139325991379986	0.00842117176628291	0.00409716125256073
mpayroll	0.0130717106884506	0.0297322178390261	0.00475563359672227
mcaja_ahorro/cliente_antiguedad	0.0128928054062251	0.00486669030168447	0.00438981562774364
cliente_edad_lag1/ccomisiones_mantenimiento	0.0109967788294414	0.0117404565314433	0.0128036289142523
mcuentas_saldo/ctrx_quarter/cproductos_lag2	0.010313742529985	0.00376069448044882	0.00621890547263682
mpayroll_sobre_edad/ctarjeta_visa_transacciones_lag1/Visa_mpagominimo/kmes/ctarjeta_visa_transacciones_lag2	0.00915112287651084	0.00967290550615191	0.00168276265730173
mprestamos_personales	0.00806107920551491	0.0132713185786741	0.00556043312847527
cproductos_delta2/ctrx_quarter_lag2/cliente_edad	0.00798500902131276	0.0083854901847895	0.00438981562774364
mrentabilidad_annual_lag2	0.00779077155142262	0.00735193185430678	0.00870646766169154
mprestamos_personales_delta1/mprestamos_personales	0.00713113740721981	0.0171634285380495	0.007243195785777
Visa_mpagominimo	0.00704128853784483	0.00758957836854306	0.00512145156570091
cproductos	0.00696452444174385	0.0200012407182606	0.00797483172373427
mrentabilidad_annual/mprestamos_personales	0.00686006318387186	0.00376934701782119	0.00292654375182909
mcaja_ahorro_lag1/mtarjeta_visa_consumo_lag2/mtarjeta_visa_consumo	0.00670700097118562	0.00951069649227959	0.00490196078431373
mprestamos_personales_delta2	0.00625663716326257	0.00483001836952796	0.00431665203394791
ctrx_quarter/cproductos_lag2/ccomisiones_mantenimiento	0.00598361844309651	0.0132268396716997	0.00804799531753
mcuentas_saldo/cproductos	0.00591838492454684	0.00452043533139466	0.00424348844015218
mpayroll_sobre_edad	0.00578660178657667	0.00732063156098084	0.00182908984489318
cproductos_delta1	0.00560126087048779	0.00741871971306055	0.00336552531460345
Master_status	0.00548643320472827	0.0060535966137907	0.00351185250219491
numero_de_cliente	0.00521424206160006	0.00217335059203727	0.00782850453614282
mrentabilidad_annual_lag1/Visa_fechaalta_lag1	0.00509165974502519	0.00579402049261971	0.00658472344161545
mrentabilidad_annual	0.00506368552431888	0.00610472708647606	0.00636523266022827
mpayroll/mtarjeta_master_consumo/cproductos_delta2	0.00500770675687788	0.00178164373868298	0.000951126719344454
mtarjeta_visa_consumo/mcomisiones	0.00490237297215319	0.00512951546801336	0.00365817968978636
Master_fechaalta	0.00481868464460783	0.00369029271050338	0.00790166812993854
mprestamos_personales/cliente_antiguedad_delta1	0.00441250182470462	0.00758277622319912	0.00380450687737782
mcomisiones_lag2	0.00435955291927939	0.00235872570329209	0.00365817968978636
