num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
109	209	0.936017739510032	9			24.6639999999998	-0.000102180917781976		0.0190000000002328	infill_ei	0.175999999999476	0.000389364808864074	0.934695320295553	128
105	324	0.934816568924809	7			23.7439999999997	-0.000563375656253627		0.0119999999997162	infill_ei	0.175000000000182	0.00200344950001199	0.932232314854329	115
94	366	0.933655483700551	8			22.7529999999997	-0.000299542985710646		0.01299999999992	infill_ei	0.165999999999258	0.000994274778634689	0.934604333300243	110
123	476	0.932759008200121	4			28.7799999999998	-0.000397661321507841		0.0159999999996217	infill_ei	0.17699999999968	0.00191523552165154	0.930101308984098	161
111	2	0.93262600821634	10			27.5140000000001	-0.000255342447382399		0.0140000000001237	infill_ei	0.246000000000095	0.000509256255831992	0.936114746939509	142
125	2	0.932264081431209	5			27.4760000000006	-0.000379932815525376		0.0100000000002183	infill_ei	0.204999999999927	0.00164494926775214	0.932103558840039	157
62	416	0.930998959634273	0			20.0889999999999				initdesign				120
119	1320	0.9294984232319	0			29.9139999999998				initdesign				196
62	1548	0.929449301286671	3			37.9809999999998	-0.000334209657610998		0.0120000000006257	infill_ei	0.16399999999976	0.0016732613805396	0.930172806617167	361
155	3177	0.927779618563461	0			31.6549999999998				initdesign				277
20	4451	0.927606764926004	0			30.29				initdesign				351
62	5791	0.926696850402823	2			32.7710000000006	-0.000400073026052113		0.00900000000001455	infill_ei	0.158000000000357	0.00202487451895468	0.929985095125333	327
253	2516	0.926585399196903	0			38.5659999999998				initdesign				341
124	2014	0.926397484585673	6			29.1239999999998	-0.000273912326667588		0.0149999999994179	infill_ei	0.159999999999854	0.00166298184560287	0.931736985900799	182
182	5783	0.926157899249037	0			28.241				initdesign				294
86	7015	0.925128192057538	0			29.902				initdesign				278
198	8111	0.924634655532359	0			32.7600000000002				initdesign				368
2	2	0.918938595251391	1			83.6780000000008	-0.000680610409435779		0.0190000000002328	infill_ei	0.335000000000036	0.000511187471753194	0.931655512418135	2048
