num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
204	4059	0.931043910848303	0			36.1600000000001				initdesign				305
255	3993	0.930981349880323	1			35.7849999999999	-0.000164026764205861		0.0219999999999345	infill_ei	0.199000000000069	0.000752304046771899	0.930715363666585	242
177	3993	0.930981349880323	10			36.4889999999998	-0.000696314594049232		0.0119999999999436	infill_ei	0.173000000000002	0.000658003285911487	0.931682204394362	242
256	4208	0.93059833773191	3			32.8329999999999	-0.000119010313950281		0.00999999999999091	infill_ei	0.191000000000031	0.000408437400243835	0.930946895361205	209
217	3821	0.930415520681034	4			36.9119999999998	-8.24970257264174e-05		0.0119999999999436	infill_ei	0.16599999999994	0.000340152735021899	0.930919568288617	249
49	1837	0.930178947539153	0			28.211				initdesign				198
256	594	0.92997782561246	8			64.472	-0.00015701167719417		0.0119999999999436	infill_ei	0.259999999999991	0.00181724590888032	0.929261493317731	331
93	3870	0.92992499635061	2			35.568	-0.000129022320779431		0.0109999999999673	infill_ei	0.169999999999845	0.000675253518865349	0.930691380921564	236
235	836	0.929855484163965	0			44.729				initdesign				196
256	1988	0.929659228090338	7			34.576	-0.000204256731536693		0.0109999999999673	infill_ei	0.19399999999996	0.00169922743006993	0.929684516171016	179
256	4095	0.92952182566807	9			37.6959999999999	-0.000165500294078752		0.01299999999992	infill_ei	0.206000000000131	0.000372003412587992	0.931076927391895	259
136	2384	0.928649679432966	0			31.7729999999999				initdesign				187
18	4777	0.928280801429171	0			32.4609999999998				initdesign				269
95	5454	0.92799325268375	0			40.4750000000001				initdesign				368
128	7721	0.927900338060934	0			33.3889999999999				initdesign				316
248	3000	0.927183435709337	6			29.1990000000001	-0.000579450513905014		0.0150000000001	infill_ei	0.178000000000111	0.00128751647813691	0.931170556566747	148
190	6760	0.92677377722271	0			33.1120000000001				initdesign				263
2	1333	0.921931210740096	5			103.733	-4.76177421149499e-05		0.0109999999999673	infill_ei	0.213999999999942	0.000898607604186503	0.929940705749697	2048
