num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
192	530	0.933167508150304	10			42.3209999999999	-0.000139733913788239		0.0109999999999673	infill_ei	0.20900000000006	0.000995889389981391	0.931787093652168	334
49	1837	0.93249486189087	0			20.299				initdesign				194
235	530	0.932403337511788	7			34.615	-4.7385450158991e-05		0.0140000000001237	infill_ei	0.163999999999987	0.00105343904925053	0.931119416161124	212
235	836	0.931841679043698	0			40.021				initdesign				281
51	1631	0.931696166866321	9			20.6009999999999	-0.000241968627845779		0.0150000000001	infill_ei	0.169999999999845	0.000576720414825791	0.932518264043196	180
57	1328	0.9314438376288	4			20.627	-0.000173469386080669		0.0130000000001473	infill_ei	0.164999999999964	0.000635460546884754	0.93231448700443	175
138	1838	0.931020740119422	8			24.8320000000001	-0.000157533373730141		0.0119999999999436	infill_ei	0.173000000000002	0.000815552373243569	0.932074727535088	178
35	2	0.930809191364733	1			23.3219999999999	-0.000743883400835557		0.0219999999999345	infill_ei	0.264000000000124	0.00107293206185531	0.93302436752167	321
45	2156	0.930571691393696	5			20.0609999999999	-0.000105994346142409		0.0139999999998963	infill_ei	0.154999999999973	0.000402019298604311	0.93237097433411	177
204	4059	0.929865215870096	0			21.3620000000001				initdesign				214
20	1773	0.929863825626363	2			17.586	-0.000144637643051996		0.01299999999992	infill_ei	0.162000000000035	0.000740057518098383	0.932119158502933	193
136	2384	0.929820496363354	0			23.03				initdesign				188
190	6760	0.929196740341861	0			22.999				initdesign				275
18	4777	0.92909316718376	0			24.02				initdesign				322
49	6550	0.929040569629199	3			33.2260000000001	-0.000143602110878972		0.00999999999999091	infill_ei	0.162000000000035	0.000764878600084855	0.932087025831329	453
230	6459	0.928520850180384	6			24.0030000000002	-1.69720904307125e-05		0.0119999999999436	infill_ei	0.183999999999969	0.00135284038436646	0.929990872515184	267
95	5454	0.927946911225986	0			26.289				initdesign				292
128	7721	0.927893155134981	0			22.8799999999999				initdesign				307
